mental_state,model,n_trials,n_correct,accuracy
Frustrated,claude-opus-4-5,2,2,1.0
Frustrated,gemini-3-flash,6,2,0.3333333333333333
Frustrated,gpt-5,2,1,0.5
Frustrated,gpt-5-mini,2,0,0.0
Happy,claude-opus-4-5,6,5,0.8333333333333334
Happy,gemini-3-flash,18,15,0.8333333333333334
Happy,gpt-5,6,6,1.0
Happy,gpt-5-mini,6,6,1.0
Happy Low Intensity,claude-opus-4-5,4,4,1.0
Happy Low Intensity,gemini-3-flash,12,7,0.5833333333333334
Happy Low Intensity,gpt-5,4,4,1.0
Happy Low Intensity,gpt-5-mini,4,4,1.0
Hurt,claude-opus-4-5,8,3,0.375
Hurt,gemini-3-flash,24,21,0.875
Hurt,gpt-5,8,5,0.625
Hurt,gpt-5-mini,8,6,0.75
Interested,claude-opus-4-5,2,1,0.5
Interested,gemini-3-flash,6,4,0.6666666666666666
Interested,gpt-5,2,1,0.5
Interested,gpt-5-mini,2,0,0.0
Jealous,claude-opus-4-5,4,3,0.75
Jealous,gemini-3-flash,12,6,0.5
Jealous,gpt-5,4,0,0.0
Jealous,gpt-5-mini,4,0,0.0
Joking,claude-opus-4-5,6,6,1.0
Joking,gemini-3-flash,18,14,0.7777777777777778
Joking,gpt-5,6,4,0.6666666666666666
Joking,gpt-5-mini,6,5,0.8333333333333334
Kind,claude-opus-4-5,2,1,0.5
Kind,gemini-3-flash,6,4,0.6666666666666666
Kind,gpt-5,2,2,1.0
Kind,gpt-5-mini,2,1,0.5
Proud,claude-opus-4-5,2,1,0.5
Proud,gemini-3-flash,6,4,0.6666666666666666
Proud,gpt-5,2,2,1.0
Proud,gpt-5-mini,2,1,0.5
Sad,claude-opus-4-5,2,2,1.0
Sad,gemini-3-flash,6,4,0.6666666666666666
Sad,gpt-5,2,2,1.0
Sad,gpt-5-mini,2,2,1.0
Sad Low Intensity,claude-opus-4-5,2,2,1.0
Sad Low Intensity,gemini-3-flash,6,6,1.0
Sad Low Intensity,gpt-5,2,2,1.0
Sad Low Intensity,gpt-5-mini,2,2,1.0
Sneaky,claude-opus-4-5,4,1,0.25
Sneaky,gemini-3-flash,12,10,0.8333333333333334
Sneaky,gpt-5,4,1,0.25
Sneaky,gpt-5-mini,4,1,0.25
Surprised,claude-opus-4-5,4,4,1.0
Surprised,gemini-3-flash,12,6,0.5
Surprised,gpt-5,4,4,1.0
Surprised,gpt-5-mini,4,2,0.5
Surprised Low Intensity,claude-opus-4-5,4,3,0.75
Surprised Low Intensity,gemini-3-flash,12,9,0.75
Surprised Low Intensity,gpt-5,4,3,0.75
Surprised Low Intensity,gpt-5-mini,4,0,0.0
Unfriendly,claude-opus-4-5,2,0,0.0
Unfriendly,gemini-3-flash,6,2,0.3333333333333333
Unfriendly,gpt-5,2,0,0.0
Unfriendly,gpt-5-mini,2,1,0.5
Worried,claude-opus-4-5,2,2,1.0
Worried,gemini-3-flash,6,6,1.0
Worried,gpt-5,2,2,1.0
Worried,gpt-5-mini,2,2,1.0
absorbed,claude-opus-4-5,3,2,0.6666666666666666
absorbed,gemini-3-flash,9,4,0.4444444444444444
absorbed,gpt-5,3,0,0.0
absorbed,gpt-5-mini,3,1,0.3333333333333333
abused,claude-opus-4-5,3,0,0.0
abused,gemini-3-flash,9,4,0.4444444444444444
abused,gpt-5,3,1,0.3333333333333333
abused,gpt-5-mini,3,0,0.0
accepted,gemini-3-flash,6,1,0.16666666666666666
admiring,claude-opus-4-5,2,1,0.5
admiring,gemini-3-flash,8,8,1.0
admiring,gpt-5,2,1,0.5
admiring,gpt-5-mini,2,1,0.5
adored,claude-opus-4-5,3,3,1.0
adored,gemini-3-flash,9,9,1.0
adored,gpt-5,3,3,1.0
adored,gpt-5-mini,3,2,0.6666666666666666
adoring,claude-opus-4-5,1,0,0.0
adoring,gemini-3-flash,7,6,0.8571428571428571
adoring,gpt-5,1,1,1.0
adoring,gpt-5-mini,1,1,1.0
adventurous,claude-opus-4-5,2,0,0.0
adventurous,gemini-3-flash,8,7,0.875
adventurous,gpt-5,2,1,0.5
adventurous,gpt-5-mini,2,0,0.0
affectionate,claude-opus-4-5,2,1,0.5
affectionate,gemini-3-flash,8,8,1.0
affectionate,gpt-5,2,1,0.5
affectionate,gpt-5-mini,2,1,0.5
affinity,claude-opus-4-5,2,2,1.0
affinity,gemini-3-flash,8,8,1.0
affinity,gpt-5,2,2,1.0
affinity,gpt-5-mini,2,2,1.0
afraid,gemini-3-flash,6,4,0.6666666666666666
aggressive,claude-opus-4-5,1,1,1.0
aggressive,gemini-3-flash,7,7,1.0
aggressive,gpt-5,1,1,1.0
aggressive,gpt-5-mini,1,1,1.0
aggrieved,claude-opus-4-5,1,0,0.0
aggrieved,gemini-3-flash,7,6,0.8571428571428571
aggrieved,gpt-5,1,0,0.0
aggrieved,gpt-5-mini,1,0,0.0
agonising,claude-opus-4-5,3,3,1.0
agonising,gemini-3-flash,14,8,0.5714285714285714
agonising,gpt-5,3,2,0.6666666666666666
agonising,gpt-5-mini,3,1,0.3333333333333333
alert,claude-opus-4-5,1,1,1.0
alert,gemini-3-flash,7,7,1.0
alert,gpt-5,1,1,1.0
alert,gpt-5-mini,1,1,1.0
ambivalent,claude-opus-4-5,2,2,1.0
ambivalent,gemini-3-flash,8,5,0.625
ambivalent,gpt-5,2,2,1.0
ambivalent,gpt-5-mini,2,2,1.0
amused,claude-opus-4-5,2,1,0.5
amused,gemini-3-flash,8,6,0.75
amused,gpt-5,2,2,1.0
amused,gpt-5-mini,2,1,0.5
angry,claude-opus-4-5,1,0,0.0
angry,gemini-3-flash,7,7,1.0
angry,gpt-5,1,1,1.0
angry,gpt-5-mini,1,1,1.0
anguished,claude-opus-4-5,1,1,1.0
anguished,gemini-3-flash,7,6,0.8571428571428571
anguished,gpt-5,1,1,1.0
anguished,gpt-5-mini,1,1,1.0
animosity,claude-opus-4-5,1,0,0.0
animosity,gemini-3-flash,7,7,1.0
animosity,gpt-5,1,1,1.0
animosity,gpt-5-mini,1,1,1.0
annoyed,claude-opus-4-5,2,2,1.0
annoyed,gemini-3-flash,8,7,0.875
annoyed,gpt-5,2,1,0.5
annoyed,gpt-5-mini,2,2,1.0
appalled,claude-opus-4-5,1,0,0.0
appalled,gemini-3-flash,7,7,1.0
appalled,gpt-5,1,0,0.0
appalled,gpt-5-mini,1,0,0.0
appealing,claude-opus-4-5,3,0,0.0
appealing,gemini-3-flash,9,7,0.7777777777777778
appealing,gpt-5,3,2,0.6666666666666666
appealing,gpt-5-mini,3,1,0.3333333333333333
appreciated,gemini-3-flash,6,2,0.3333333333333333
ardor,claude-opus-4-5,6,2,0.3333333333333333
ardor,gemini-3-flash,28,17,0.6071428571428571
ardor,gpt-5,6,2,0.3333333333333333
ardor,gpt-5-mini,6,1,0.16666666666666666
argumentative,claude-opus-4-5,1,0,0.0
argumentative,gemini-3-flash,7,4,0.5714285714285714
argumentative,gpt-5,1,0,0.0
argumentative,gpt-5-mini,1,0,0.0
aroused,claude-opus-4-5,1,0,0.0
aroused,gemini-3-flash,7,1,0.14285714285714285
aroused,gpt-5,1,1,1.0
aroused,gpt-5-mini,1,0,0.0
arrogant,claude-opus-4-5,1,0,0.0
arrogant,gemini-3-flash,7,5,0.7142857142857143
arrogant,gpt-5,1,1,1.0
arrogant,gpt-5-mini,1,1,1.0
ashamed,claude-opus-4-5,1,0,0.0
ashamed,gemini-3-flash,7,7,1.0
ashamed,gpt-5,1,1,1.0
ashamed,gpt-5-mini,1,1,1.0
asking,claude-opus-4-5,1,1,1.0
asking,gemini-3-flash,7,6,0.8571428571428571
asking,gpt-5,1,0,0.0
asking,gpt-5-mini,1,1,1.0
assertive,claude-opus-4-5,3,1,0.3333333333333333
assertive,gemini-3-flash,9,7,0.7777777777777778
assertive,gpt-5,3,1,0.3333333333333333
assertive,gpt-5-mini,3,1,0.3333333333333333
attacked,claude-opus-4-5,2,2,1.0
attacked,gemini-3-flash,8,8,1.0
attacked,gpt-5,2,1,0.5
attacked,gpt-5-mini,2,1,0.5
attracted,claude-opus-4-5,2,1,0.5
attracted,gemini-3-flash,8,8,1.0
attracted,gpt-5,2,2,1.0
attracted,gpt-5-mini,2,2,1.0
attractive,claude-opus-4-5,2,0,0.0
attractive,gemini-3-flash,8,1,0.125
attractive,gpt-5,2,0,0.0
attractive,gpt-5-mini,2,0,0.0
awed,claude-opus-4-5,2,1,0.5
awed,gemini-3-flash,8,8,1.0
awed,gpt-5,2,2,1.0
awed,gpt-5-mini,2,2,1.0
baffled,claude-opus-4-5,3,3,1.0
baffled,gemini-3-flash,9,9,1.0
baffled,gpt-5,3,3,1.0
baffled,gpt-5-mini,3,3,1.0
battered,claude-opus-4-5,2,0,0.0
battered,gemini-3-flash,8,7,0.875
battered,gpt-5,2,0,0.0
battered,gpt-5-mini,2,0,0.0
begging,claude-opus-4-5,3,0,0.0
begging,gemini-3-flash,9,9,1.0
begging,gpt-5,3,2,0.6666666666666666
begging,gpt-5-mini,3,3,1.0
believing,claude-opus-4-5,2,1,0.5
believing,gemini-3-flash,7,6,0.8571428571428571
believing,gpt-5,2,2,1.0
believing,gpt-5-mini,2,1,0.5
belittled,claude-opus-4-5,3,1,0.3333333333333333
belittled,gemini-3-flash,9,2,0.2222222222222222
belittled,gpt-5,3,2,0.6666666666666666
belittled,gpt-5-mini,3,1,0.3333333333333333
belittling,claude-opus-4-5,2,1,0.5
belittling,gemini-3-flash,8,6,0.75
belittling,gpt-5,2,1,0.5
belittling,gpt-5-mini,2,1,0.5
bemused,claude-opus-4-5,2,0,0.0
bemused,gemini-3-flash,8,3,0.375
bemused,gpt-5,2,0,0.0
bemused,gpt-5-mini,2,2,1.0
betrayed,claude-opus-4-5,3,0,0.0
betrayed,gemini-3-flash,9,8,0.8888888888888888
betrayed,gpt-5,3,1,0.3333333333333333
betrayed,gpt-5-mini,3,1,0.3333333333333333
bewildered,claude-opus-4-5,2,2,1.0
bewildered,gemini-3-flash,8,7,0.875
bewildered,gpt-5,2,2,1.0
bewildered,gpt-5-mini,2,1,0.5
bewitched,claude-opus-4-5,1,0,0.0
bewitched,gemini-3-flash,7,4,0.5714285714285714
bewitched,gpt-5,1,0,0.0
bewitched,gpt-5-mini,1,0,0.0
bitter,claude-opus-4-5,2,1,0.5
bitter,gemini-3-flash,8,7,0.875
bitter,gpt-5,2,0,0.0
bitter,gpt-5-mini,2,0,0.0
blamed,claude-opus-4-5,2,1,0.5
blamed,gemini-3-flash,8,6,0.75
blamed,gpt-5,2,0,0.0
blamed,gpt-5-mini,2,0,0.0
blaming,claude-opus-4-5,1,1,1.0
blaming,gemini-3-flash,7,6,0.8571428571428571
blaming,gpt-5,1,0,0.0
blaming,gpt-5-mini,1,0,0.0
blank,claude-opus-4-5,2,1,0.5
blank,gemini-3-flash,8,6,0.75
blank,gpt-5,2,2,1.0
blank,gpt-5-mini,2,2,1.0
bored,gemini-3-flash,6,5,0.8333333333333334
bossy,gemini-3-flash,6,6,1.0
bothered,claude-opus-4-5,1,1,1.0
bothered,gemini-3-flash,7,6,0.8571428571428571
bothered,gpt-5,1,0,0.0
bothered,gpt-5-mini,1,1,1.0
brazen,gemini-3-flash,6,4,0.6666666666666666
broken,claude-opus-4-5,1,0,0.0
broken,gemini-3-flash,7,5,0.7142857142857143
broken,gpt-5,1,1,1.0
broken,gpt-5-mini,1,1,1.0
brooding,claude-opus-4-5,1,0,0.0
brooding,gemini-3-flash,7,3,0.42857142857142855
brooding,gpt-5,1,0,0.0
brooding,gpt-5-mini,1,0,0.0
bullied,claude-opus-4-5,1,0,0.0
bullied,gemini-3-flash,7,3,0.42857142857142855
bullied,gpt-5,1,0,0.0
bullied,gpt-5-mini,1,0,0.0
bullying,gemini-3-flash,6,5,0.8333333333333334
calculating,claude-opus-4-5,5,4,0.8
calculating,gemini-3-flash,17,11,0.6470588235294118
calculating,gpt-5,5,3,0.6
calculating,gpt-5-mini,5,3,0.6
calm,claude-opus-4-5,1,0,0.0
calm,gemini-3-flash,7,6,0.8571428571428571
calm,gpt-5,1,1,1.0
calm,gpt-5-mini,1,1,1.0
calming,claude-opus-4-5,2,0,0.0
calming,gemini-3-flash,8,5,0.625
calming,gpt-5,2,0,0.0
calming,gpt-5-mini,2,1,0.5
carefree,claude-opus-4-5,2,1,0.5
carefree,gemini-3-flash,8,5,0.625
carefree,gpt-5,2,2,1.0
carefree,gpt-5-mini,2,1,0.5
caring,gemini-3-flash,6,6,1.0
casual,claude-opus-4-5,2,1,0.5
casual,gemini-3-flash,8,5,0.625
casual,gpt-5,2,2,1.0
casual,gpt-5-mini,2,2,1.0
cautious,claude-opus-4-5,2,2,1.0
cautious,gemini-3-flash,8,8,1.0
cautious,gpt-5,2,1,0.5
cautious,gpt-5-mini,2,1,0.5
cheated,claude-opus-4-5,1,0,0.0
cheated,gemini-3-flash,6,2,0.3333333333333333
cheated,gpt-5,1,1,1.0
cheated,gpt-5-mini,1,1,1.0
cheeky,claude-opus-4-5,2,2,1.0
cheeky,gemini-3-flash,8,8,1.0
cheeky,gpt-5,2,2,1.0
cheeky,gpt-5-mini,2,2,1.0
cheered,claude-opus-4-5,1,0,0.0
cheered,gemini-3-flash,7,5,0.7142857142857143
cheered,gpt-5,1,1,1.0
cheered,gpt-5-mini,1,1,1.0
cheering,claude-opus-4-5,2,1,0.5
cheering,gemini-3-flash,8,8,1.0
cheering,gpt-5,2,2,1.0
cheering,gpt-5-mini,2,2,1.0
cherishing,claude-opus-4-5,1,1,1.0
cherishing,gemini-3-flash,7,7,1.0
cherishing,gpt-5,1,1,1.0
cherishing,gpt-5-mini,1,1,1.0
choosing,claude-opus-4-5,1,0,0.0
choosing,gemini-3-flash,7,4,0.5714285714285714
choosing,gpt-5,1,1,1.0
choosing,gpt-5-mini,1,1,1.0
close,claude-opus-4-5,2,0,0.0
close,gemini-3-flash,8,6,0.75
close,gpt-5,2,0,0.0
close,gpt-5-mini,2,1,0.5
clueless,claude-opus-4-5,2,1,0.5
clueless,gemini-3-flash,8,5,0.625
clueless,gpt-5,2,1,0.5
clueless,gpt-5-mini,2,2,1.0
cocky,gemini-3-flash,6,5,0.8333333333333334
cold,claude-opus-4-5,2,1,0.5
cold,gemini-3-flash,8,4,0.5
cold,gpt-5,2,0,0.0
cold,gpt-5-mini,2,0,0.0
comfortable,claude-opus-4-5,2,2,1.0
comfortable,gemini-3-flash,8,6,0.75
comfortable,gpt-5,2,1,0.5
comfortable,gpt-5-mini,2,2,1.0
comforted,claude-opus-4-5,1,1,1.0
comforted,gemini-3-flash,7,4,0.5714285714285714
comforted,gpt-5,1,0,0.0
comforted,gpt-5-mini,1,1,1.0
comforting,claude-opus-4-5,1,1,1.0
comforting,gemini-3-flash,7,3,0.42857142857142855
comforting,gpt-5,1,0,0.0
comforting,gpt-5-mini,1,0,0.0
committed,claude-opus-4-5,1,0,0.0
committed,gemini-3-flash,7,6,0.8571428571428571
committed,gpt-5,1,0,0.0
committed,gpt-5-mini,1,0,0.0
compelled,claude-opus-4-5,1,0,0.0
compelled,gemini-3-flash,7,3,0.42857142857142855
compelled,gpt-5,1,0,0.0
compelled,gpt-5-mini,1,0,0.0
competitive,claude-opus-4-5,1,0,0.0
competitive,gemini-3-flash,7,2,0.2857142857142857
competitive,gpt-5,1,0,0.0
competitive,gpt-5-mini,1,0,0.0
complacent,claude-opus-4-5,2,1,0.5
complacent,gemini-3-flash,8,6,0.75
complacent,gpt-5,2,2,1.0
complacent,gpt-5-mini,2,1,0.5
complaining,claude-opus-4-5,2,2,1.0
complaining,gemini-3-flash,8,5,0.625
complaining,gpt-5,2,1,0.5
complaining,gpt-5-mini,2,1,0.5
composed,claude-opus-4-5,2,1,0.5
composed,gemini-3-flash,8,7,0.875
composed,gpt-5,2,1,0.5
composed,gpt-5-mini,2,1,0.5
comprehending,claude-opus-4-5,1,1,1.0
comprehending,gemini-3-flash,7,5,0.7142857142857143
comprehending,gpt-5,1,1,1.0
comprehending,gpt-5-mini,1,1,1.0
concealing,gemini-3-flash,4,3,0.75
concentrating,claude-opus-4-5,2,2,1.0
concentrating,gemini-3-flash,7,7,1.0
concentrating,gpt-5,2,2,1.0
concentrating,gpt-5-mini,2,2,1.0
concerned,claude-opus-4-5,1,1,1.0
concerned,gemini-3-flash,7,5,0.7142857142857143
concerned,gpt-5,1,1,1.0
concerned,gpt-5-mini,1,1,1.0
condemned,claude-opus-4-5,1,0,0.0
condemned,gemini-3-flash,7,4,0.5714285714285714
condemned,gpt-5,1,0,0.0
condemned,gpt-5-mini,1,0,0.0
condemning,claude-opus-4-5,1,1,1.0
condemning,gemini-3-flash,7,7,1.0
condemning,gpt-5,1,1,1.0
condemning,gpt-5-mini,1,1,1.0
condescending,claude-opus-4-5,1,0,0.0
condescending,gemini-3-flash,7,6,0.8571428571428571
condescending,gpt-5,1,0,0.0
condescending,gpt-5-mini,1,0,0.0
confronted,claude-opus-4-5,1,1,1.0
confronted,gemini-3-flash,7,7,1.0
confronted,gpt-5,1,1,1.0
confronted,gpt-5-mini,1,0,0.0
confused,claude-opus-4-5,1,1,1.0
confused,gemini-3-flash,7,1,0.14285714285714285
confused,gpt-5,1,1,1.0
confused,gpt-5-mini,1,1,1.0
congratulatory,claude-opus-4-5,1,1,1.0
congratulatory,gemini-3-flash,6,5,0.8333333333333334
congratulatory,gpt-5,1,0,0.0
congratulatory,gpt-5-mini,1,0,0.0
consternation,claude-opus-4-5,2,2,1.0
consternation,gemini-3-flash,8,8,1.0
consternation,gpt-5,2,2,1.0
consternation,gpt-5-mini,2,2,1.0
contemptuous,claude-opus-4-5,2,1,0.5
contemptuous,gemini-3-flash,8,7,0.875
contemptuous,gpt-5,2,1,0.5
contemptuous,gpt-5-mini,2,1,0.5
content,claude-opus-4-5,2,2,1.0
content,gemini-3-flash,8,8,1.0
content,gpt-5,2,2,1.0
content,gpt-5-mini,2,2,1.0
contradicted,claude-opus-4-5,1,1,1.0
contradicted,gemini-3-flash,7,4,0.5714285714285714
contradicted,gpt-5,1,1,1.0
contradicted,gpt-5-mini,1,1,1.0
contradictory,claude-opus-4-5,1,0,0.0
contradictory,gemini-3-flash,7,5,0.7142857142857143
contradictory,gpt-5,1,0,0.0
contradictory,gpt-5-mini,1,0,0.0
contrary,claude-opus-4-5,1,0,0.0
contrary,gemini-3-flash,7,4,0.5714285714285714
contrary,gpt-5,1,0,0.0
contrary,gpt-5-mini,1,0,0.0
convinced,claude-opus-4-5,1,1,1.0
convinced,gemini-3-flash,7,4,0.5714285714285714
convinced,gpt-5,1,0,0.0
convinced,gpt-5-mini,1,0,0.0
corrected,claude-opus-4-5,1,1,1.0
corrected,gemini-3-flash,7,4,0.5714285714285714
corrected,gpt-5,1,1,1.0
corrected,gpt-5-mini,1,1,1.0
cowardly,claude-opus-4-5,2,0,0.0
cowardly,gemini-3-flash,8,4,0.5
cowardly,gpt-5,2,1,0.5
cowardly,gpt-5-mini,2,0,0.0
cowed,claude-opus-4-5,3,1,0.3333333333333333
cowed,gemini-3-flash,9,6,0.6666666666666666
cowed,gpt-5,3,2,0.6666666666666666
cowed,gpt-5-mini,3,3,1.0
criticised,claude-opus-4-5,3,1,0.3333333333333333
criticised,gemini-3-flash,15,12,0.8
criticised,gpt-5,3,0,0.0
criticised,gpt-5-mini,3,0,0.0
cruel,gemini-3-flash,6,4,0.6666666666666666
curious,claude-opus-4-5,1,0,0.0
curious,gemini-3-flash,7,6,0.8571428571428571
curious,gpt-5,1,1,1.0
curious,gpt-5-mini,1,1,1.0
cynical,claude-opus-4-5,1,1,1.0
cynical,gemini-3-flash,7,7,1.0
cynical,gpt-5,1,1,1.0
cynical,gpt-5-mini,1,1,1.0
daunted,claude-opus-4-5,3,2,0.6666666666666666
daunted,gemini-3-flash,9,8,0.8888888888888888
daunted,gpt-5,3,2,0.6666666666666666
daunted,gpt-5-mini,3,2,0.6666666666666666
dazed,claude-opus-4-5,2,0,0.0
dazed,gemini-3-flash,8,6,0.75
dazed,gpt-5,2,1,0.5
dazed,gpt-5-mini,2,0,0.0
deceitful,claude-opus-4-5,1,1,1.0
deceitful,gemini-3-flash,7,7,1.0
deceitful,gpt-5,1,1,1.0
deceitful,gpt-5-mini,1,0,0.0
decided,gemini-3-flash,6,6,1.0
deferential,claude-opus-4-5,1,1,1.0
deferential,gemini-3-flash,7,5,0.7142857142857143
deferential,gpt-5,1,0,0.0
deferential,gpt-5-mini,1,0,0.0
defiant,claude-opus-4-5,2,0,0.0
defiant,gemini-3-flash,8,6,0.75
defiant,gpt-5,1,1,1.0
defiant,gpt-5-mini,2,1,0.5
deflated,claude-opus-4-5,1,1,1.0
deflated,gemini-3-flash,7,7,1.0
deflated,gpt-5,1,1,1.0
deflated,gpt-5-mini,1,1,1.0
delighted,claude-opus-4-5,2,2,1.0
delighted,gemini-3-flash,8,8,1.0
delighted,gpt-5,2,2,1.0
delighted,gpt-5-mini,2,2,1.0
demanding,claude-opus-4-5,2,1,0.5
demanding,gemini-3-flash,8,7,0.875
demanding,gpt-5,2,1,0.5
demanding,gpt-5-mini,2,1,0.5
demoralised,claude-opus-4-5,2,2,1.0
demoralised,gemini-3-flash,14,14,1.0
demoralised,gpt-5,2,2,1.0
demoralised,gpt-5-mini,2,1,0.5
deserted,claude-opus-4-5,1,0,0.0
deserted,gemini-3-flash,7,4,0.5714285714285714
deserted,gpt-5,1,0,0.0
deserted,gpt-5-mini,1,0,0.0
despairing,claude-opus-4-5,2,2,1.0
despairing,gemini-3-flash,8,7,0.875
despairing,gpt-5,2,1,0.5
despairing,gpt-5-mini,2,2,1.0
desperate,claude-opus-4-5,2,2,1.0
desperate,gemini-3-flash,8,8,1.0
desperate,gpt-5,2,2,1.0
desperate,gpt-5-mini,2,2,1.0
despising,claude-opus-4-5,2,2,1.0
despising,gemini-3-flash,8,8,1.0
despising,gpt-5,2,2,1.0
despising,gpt-5-mini,2,2,1.0
determined,claude-opus-4-5,1,0,0.0
determined,gemini-3-flash,7,6,0.8571428571428571
determined,gpt-5,1,0,0.0
determined,gpt-5-mini,1,0,0.0
detesting,claude-opus-4-5,2,2,1.0
detesting,gemini-3-flash,8,8,1.0
detesting,gpt-5,2,2,1.0
detesting,gpt-5-mini,2,2,1.0
devastated,gemini-3-flash,6,6,1.0
devoted,gemini-3-flash,6,6,1.0
difficult,claude-opus-4-5,1,0,0.0
difficult,gemini-3-flash,7,4,0.5714285714285714
difficult,gpt-5,1,0,0.0
difficult,gpt-5-mini,1,0,0.0
disappointed,gemini-3-flash,6,6,1.0
disapproving,claude-opus-4-5,2,0,0.0
disapproving,gemini-3-flash,8,7,0.875
disapproving,gpt-5,2,1,0.5
disapproving,gpt-5-mini,2,1,0.5
disbelieved,claude-opus-4-5,2,2,1.0
disbelieved,gemini-3-flash,8,4,0.5
disbelieved,gpt-5,2,1,0.5
disbelieved,gpt-5-mini,2,2,1.0
disbelieving,claude-opus-4-5,1,0,0.0
disbelieving,gemini-3-flash,7,5,0.7142857142857143
disbelieving,gpt-5,1,1,1.0
disbelieving,gpt-5-mini,1,0,0.0
discomforted,claude-opus-4-5,1,1,1.0
discomforted,gemini-3-flash,7,4,0.5714285714285714
discomforted,gpt-5,1,0,0.0
discomforted,gpt-5-mini,1,1,1.0
discontented,claude-opus-4-5,2,0,0.0
discontented,gemini-3-flash,8,6,0.75
discontented,gpt-5,2,2,1.0
discontented,gpt-5-mini,2,0,0.0
discouraged,claude-opus-4-5,1,1,1.0
discouraged,gemini-3-flash,7,7,1.0
discouraged,gpt-5,1,1,1.0
discouraged,gpt-5-mini,1,1,1.0
discouraging,claude-opus-4-5,2,1,0.5
discouraging,gemini-3-flash,8,6,0.75
discouraging,gpt-5,2,1,0.5
discouraging,gpt-5-mini,2,0,0.0
discredited,claude-opus-4-5,1,0,0.0
discredited,gemini-3-flash,6,1,0.16666666666666666
discredited,gpt-5,1,0,0.0
discredited,gpt-5-mini,1,0,0.0
disgusted,claude-opus-4-5,1,1,1.0
disgusted,gemini-3-flash,7,5,0.7142857142857143
disgusted,gpt-5,1,1,1.0
disgusted,gpt-5-mini,1,1,1.0
disillusioned,claude-opus-4-5,2,1,0.5
disillusioned,gemini-3-flash,8,6,0.75
disillusioned,gpt-5,2,1,0.5
disillusioned,gpt-5-mini,2,2,1.0
disinclined,claude-opus-4-5,2,1,0.5
disinclined,gemini-3-flash,8,7,0.875
disinclined,gpt-5,2,2,1.0
disinclined,gpt-5-mini,2,2,1.0
disliked,claude-opus-4-5,2,1,0.5
disliked,gemini-3-flash,8,3,0.375
disliked,gpt-5,2,0,0.0
disliked,gpt-5-mini,2,1,0.5
disliking,gemini-3-flash,6,6,1.0
dismayed,claude-opus-4-5,1,1,1.0
dismayed,gemini-3-flash,7,6,0.8571428571428571
dismayed,gpt-5,1,0,0.0
dismayed,gpt-5-mini,1,0,0.0
disorientated,claude-opus-4-5,1,0,0.0
disorientated,gemini-3-flash,6,5,0.8333333333333334
disorientated,gpt-5,1,0,0.0
disorientated,gpt-5-mini,1,0,0.0
displeased,gemini-3-flash,6,4,0.6666666666666666
disrespected,claude-opus-4-5,2,1,0.5
disrespected,gemini-3-flash,8,5,0.625
disrespected,gpt-5,2,0,0.0
disrespected,gpt-5-mini,2,0,0.0
disrespectful,claude-opus-4-5,2,0,0.0
disrespectful,gemini-3-flash,8,4,0.5
disrespectful,gpt-5,2,1,0.5
disrespectful,gpt-5-mini,2,0,0.0
distant,claude-opus-4-5,1,0,0.0
distant,gemini-3-flash,7,5,0.7142857142857143
distant,gpt-5,1,0,0.0
distant,gpt-5-mini,1,1,1.0
distaste,claude-opus-4-5,2,1,0.5
